sequence_id,forward,reverse,score
01418e57d9d995fd8af16ef95fb1f260a1f280e46b39346e37eff0484d387b43,-257.6265657842159,-255.5223216414452,-256.57444371283054
014841b93946ac81e8d880f3e641b4b0fb604f3d6fd8ed12fa1c197ed7bdd895,-257.22911593317986,-257.3377443552017,-257.2834301441908
0156a4097410a128cf97162e7b1f54bcc31c992db2b285020286d178d491906b,-248.8871336877346,-246.86619766056535,-247.87666567415
016046fb9bc6627e0319c68e5a2834cb721d73b030000090af520a33e16b90a6,-257.9272597208619,-250.39492623507977,-254.16109297797084
0161c41a995d20c38bc4cf2e030812ff003843120caa425a6ef97c8b1215dd8e,-246.37242288142443,-251.63909848034385,-249.00576068088407
016c79259142d8b99089592cd4f9298132e7f456e9554671456b5511cb078f9b,-268.5706607401371,-266.6586210131645,-267.6146408766508
0172f2161dba45538d8a93926c74228d05f633be74e07c1b0443849be10d536b,-245.06840106844905,-239.88922744989395,-242.4788142591715
017680acd5f9e96ab9721645eb26f74fd426f11ba39c1f5a31f36474618ebe04,-273.13909286260605,-272.3358021378517,-272.7374475002289
0179be2e99c894837672f8d1bf16c7b0be84d4b5a9d85b161a80da2e2897afde,-220.54195298999548,-214.7345338910818,-217.63824344053864
01803fac9407256a0f2ee28682d95d910529728cbedc294542136bc5b932892f,-258.75076684355736,-251.0661268532276,-254.9084468483925
0187fcba8352e646dcc87920636f8fb4befdd8de6c05ae042205872917959a5b,-255.0810502767563,-256.1469474732876,-255.61399887502196
018c38fd8a0c82710a1e5052f4a34b27f498a07ee3e5f26b6f390fd7ee9915d3,-254.9942722916603,-254.27945637702945,-254.6368643343449
0190270d367bd3fa1651cac1b30ef0ed0f0766dbd77e7c3382cfb92159e0b8af,-277.2316101193428,-275.3207121491432,-276.276161134243
01915c3ea3e9a9da9fb50e84ac01db323efc75feec8cd4da2b34b1e1785fe29d,-235.33330370485783,-236.96582366526127,-236.14956368505955
0199c9baa7f45920e34cf98c5e88ec02cef2d2008c735b6a5edd744f95f24508,-268.48686677217484,-266.3902395069599,-267.4385531395674
01b23abd18ce11c283366dfea6312ad7f4084c4810b10e17f3eeb8cb9fc7e6e4,-261.16979521512985,-256.3790979385376,-258.7744465768337
01b484ab978f379bf13f3ba9d4e1cfe2a492f34a5cd6780e9b4279d26967c137,-259.83585423231125,-263.3457987308502,-261.59082648158073
01c4a7c9b692858f1c4ca4ddfa7af63ecf6275049b3f4154bce7550da82146c1,-242.6106413602829,-238.8183346837759,-240.7144880220294
01c4b72f588d75f4f6e56c31dbce7a53ffcd1806547731f04bfb83a92d81a74f,-283.1667130291462,-260.675509095192,-271.9211110621691
01cc511bc7ff3e9b2de149a6741e86498730926e7628d5071f97e594be2ddf62,-228.49051581323147,-228.81089568138125,-228.65070574730635
01cdcaaa86724ec698f7db994d0588bdd747228d1afd09378784234ec29306cc,-202.4622509405017,-203.62021461874247,-203.04123277962208
01cf973e02cfa16805e428cbc3bd0b6f13275aa41fb6085e8ee8b9016c16a06a,-233.96242452412844,-235.8146068006754,-234.88851566240191
